"IDDIST","DISTRITO","Código de Local Educativo","Nombre de Local Educativo","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Local Educativo Priorizado (preliminar)"
"060101","CAJAMARCA","094188","82011","Pública de gestión directa",586,24,"NA",-78.51339,-7.1477,"Sí"
"060101","CAJAMARCA","094193","82012","Pública de gestión directa",1090,58,"NA",-78.51454,-7.1543,"Sí"
"060101","CAJAMARCA","094206","82015 RAFAEL OLASCOAGA","Pública de gestión directa",847,41,"NA",-78.51105,-7.145732,"Sí"
"060101","CAJAMARCA","094211","EMBLEMATICO SANTA TERESITA","Pública de gestión privada",2435,104,"NA",-78.512358,-7.156186,"Sí"
"060101","CAJAMARCA","094225","82019","Pública de gestión directa",2252,98,"NA",-78.50949,-7.16506,"Sí"
"060101","CAJAMARCA","094230","82020","Pública de gestión directa",135,9,"NA",-78.579239,-7.089334,"No"
"060101","CAJAMARCA","094249","82021","Pública de gestión directa",240,14,"NA",-78.553721,-7.10525,"No"
"060101","CAJAMARCA","094268","82029 SANTIAGO APOSTOL","Pública de gestión directa",269,16,"NA",-78.470369,-7.220298,"No"
"060101","CAJAMARCA","094273","82030 CARLOS FERNANDEZ GIL","Pública de gestión directa",136,9,"NA",-78.486303,-7.213434,"No"
"060101","CAJAMARCA","094287","82031","Pública de gestión directa",560,25,"NA",-78.493403,-7.190706,"Sí"
"060101","CAJAMARCA","094305","82104","Pública de gestión directa",68,6,"NA",-78.553041,-7.069313,"No"
"060101","CAJAMARCA","094310","82106","Pública de gestión directa",29,2,"NA",-78.569954,-7.151693,"No"
"060101","CAJAMARCA","094329","82107","Pública de gestión directa",187,15,"NA",-78.556219,-7.139528,"No"
"060101","CAJAMARCA","094334","82109","Pública de gestión directa",82,8,"NA",-78.550045,-7.096316,"No"
"060101","CAJAMARCA","094348","82115 EL CUMBE","Pública de gestión directa",54,3,"NA",-78.5309,-7.17342,"No"
"060101","CAJAMARCA","094353","82119","Pública de gestión directa",75,6,"NA",-78.54052,-7.148934,"No"
"060101","CAJAMARCA","094367","82120","Pública de gestión directa",76,10,"NA",-78.578138,-7.069255,"No"
"060101","CAJAMARCA","094372","82121","Pública de gestión directa",705,29,"NA",-78.503664,-7.190911,"Sí"
"060101","CAJAMARCA","094386","82122","Pública de gestión directa",74,8,"NA",-78.527976,-7.208031,"No"
"060101","CAJAMARCA","094409","82126","Pública de gestión directa",175,18,"NA",-78.567755,-7.07711,"No"
"060101","CAJAMARCA","094414","82132","Pública de gestión directa",17,2,"NA",-78.480165,-7.157545,"No"
"060101","CAJAMARCA","094428","82325","Pública de gestión directa",9,1,"NA",-78.525885,-7.215056,"No"
"060101","CAJAMARCA","094433","82594","Pública de gestión directa",545,23,"NA",-78.52008,-7.16301,"Sí"
"060101","CAJAMARCA","094447","82848","Pública de gestión directa",94,7,"NA",-78.539858,-7.126327,"No"
"060101","CAJAMARCA","094466","82911","Pública de gestión directa",25,2,"NA",-78.579619,-7.110088,"No"
"060101","CAJAMARCA","094471","82912","Pública de gestión directa",184,14,"NA",-78.598535,-7.071761,"No"
"060101","CAJAMARCA","094490","82967","Pública de gestión directa",105,13,"NA",-78.562761,-7.092322,"No"
"060101","CAJAMARCA","094503","82972","Pública de gestión directa",24,2,"NA",-78.561239,-7.17052,"No"
"060101","CAJAMARCA","094517","821006","Pública de gestión directa",82,6,"NA",-78.601092,-7.100384,"No"
"060101","CAJAMARCA","094522","821021","Pública de gestión directa",52,3,"NA",-78.591064,-7.090304,"No"
