"IDDIST","DISTRITO","Código de Local Educativo","Nombre de Local Educativo","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Priorizado (preliminar)"
"130102","EL PORVENIR","700370","CHARLES DARWIN","Privada",63,6,"NA",-79.01879,-8.06547,"No"
"130102","EL PORVENIR","700389","CIRO ALEGRIA","Privada",72,4,"NA",-78.99267,-8.07527,"No"
"130102","EL PORVENIR","706046","SAN DANIEL COMBONI","Pública de gestión privada",124,10,"NA",-78.9935,-8.07317,"No"
"130102","EL PORVENIR","726488","SEÑOR DE LA MISERICORDIA","Privada",40,4,"NA",-79.00898,-8.08084,"No"
"130102","EL PORVENIR","726493","FUENTE DEL SABER","Privada",18,3,"NA",-79.00516,-8.05997,"No"
"130102","EL PORVENIR","733549","2169","Pública de gestión directa",105,5,"NA",-79.01041,-8.05803,"No"
"130102","EL PORVENIR","733554","2170","Pública de gestión directa",88,4,"NA",-79.02893,-8.07346,"No"
"130102","EL PORVENIR","733568","2171 ESTRELLITA DE BELEN","Pública de gestión directa",72,3,"NA",-79.006958,-8.078514,"No"
"130102","EL PORVENIR","733587","JOYITAS DE JESUS","Privada",65,5,"NA",-79.0043,-8.08404,"No"
"130102","EL PORVENIR","737180","2191","Pública de gestión directa",63,3,"NA",-79.02714,-8.06828,"No"
"130102","EL PORVENIR","737199","2192","Pública de gestión directa",20,1,"NA",-78.98412,-8.06192,"No"
"130102","EL PORVENIR","737203","2194","Pública de gestión directa",64,3,"NA",-79.02188,-8.05573,"No"
"130102","EL PORVENIR","737222","2195 MIS TESORITOS","Pública de gestión directa",87,3,"NA",-79.01342,-8.06791,"No"
"130102","EL PORVENIR","737236","2196 MI PRIMER DESPERTAR","Pública de gestión directa",76,3,"NA",-79.00517,-8.07014,"No"
"130102","EL PORVENIR","737241","2197 MI MUNDO MAGICO","Pública de gestión directa",66,3,"NA",-79.01009,-8.06624,"No"
"130102","EL PORVENIR","737255","2198 CRECEMOS JUNTOS","Pública de gestión directa",71,3,"NA",-79.00662,-8.06851,"No"
"130102","EL PORVENIR","737316","2199 RAYITO DE LUZ","Pública de gestión directa",110,4,"NA",-78.99596,-8.07748,"No"
"130102","EL PORVENIR","737321","2200 EMILIA Y VICTORIA BARCIA BONIFFATTI","Pública de gestión directa",336,13,"NA",-78.98898,-8.06562,"Sí"
"130102","EL PORVENIR","737335","2201","Pública de gestión directa",35,2,"NA",-78.98428,-8.06764,"No"
"130102","EL PORVENIR","737340","2202","Pública de gestión directa",41,2,"NA",-78.98901,-8.05972,"No"
"130102","EL PORVENIR","737359","2203 ABEJITAS DEL SABER","Pública de gestión directa",33,2,"NA",-78.98662,-8.0699,"No"
"130102","EL PORVENIR","737364","2204","Pública de gestión directa",25,1,"NA",-78.99394,-8.06424,"No"
"130102","EL PORVENIR","737378","2205 RAYITOS DE SOL","Pública de gestión directa",49,2,"NA",-79.00356,-8.06953,"No"
